Comune,Località,Prezzo_Attuale_€_mq,Prezzo_Reale_Mercato_€_mq,Note
Campo nell'Elba,Cavoli,5290,,
Campo nell'Elba,Fetovaia,3200,,
Campo nell'Elba,Fonza,3640,,
Campo nell'Elba,La Pila,3280,,
Campo nell'Elba,Marina di Campo,3800,,
Campo nell'Elba,S. Piero,3120,,
Campo nell'Elba,Sant'Ilario,2388,,
Campo nell'Elba,Seccheto,3900,,
Campo nell'Elba,State,4600,,
Campo nell'Elba,Vallebuia,3640,,
Capoliveri,Barabarca,3500,,
Capoliveri,Capo Perla,3500,,
Capoliveri,Centro,3500,,
Capoliveri,Gli Stecchi,4000,,
Capoliveri,Innamorata,4300,,
Capoliveri,Lacona,4120,,
Capoliveri,Lido di Capoliveri,3800,,
Capoliveri,Madonna delle Grazie,4000,,
Capoliveri,Morcone,5000,,
Capoliveri,Naregno,4000,,
Capoliveri,Norsi,3800,,
Capoliveri,Pareti,5000,,
Capoliveri,Peducelli,4000,,
Capoliveri,Straccoligno,4300,,
Marciana,Campo all'Aia,4470,,
Marciana,Chiessi,3500,,
Marciana,Colle d'Orano,4700,,
Marciana,Marciana Alta,2500,,
Marciana,Patresi,3350,,
Marciana,Poggio,2500,,
Marciana,Pomonte,3350,,
Marciana,Procchio,4470,,
Marciana,Redinoce,3400,,
Marciana,S. Andrea,3820,,
Marciana,Seccheto,3900,,
Marciana,Zanca,3820,,
Marciana Marina,Centro,2300,,
Porto Azzurro,Barbarossa,4000,,
Porto Azzurro,Centro,3200,,
Porto Azzurro,Mola,3900,,
Porto Azzurro,Monserrato,3800,,
Porto Azzurro,Reale,4000,,
Porto Azzurro,Terranera,3900,,
Portoferraio,Acquabona,3000,,
Portoferraio,Acquaviva,4400,,
Portoferraio,Bagnaia,3800,,
Portoferraio,Biodola,5000,,
Portoferraio,Campo ai Peri,2700,,
Portoferraio,Capobianco,4500,,
Portoferraio,Carpani,3100,,
Portoferraio,Centro,3000,,
Portoferraio,Ghiaie,4500,,
Portoferraio,Magazzini,3800,,
Portoferraio,Ottone,3800,,
Portoferraio,S. Giovanni,3800,,
Portoferraio,S. Martino,3000,,
Portoferraio,Schiopparello,3800,,
Portoferraio,Valdana,3000,,
Portoferraio,Valle di Lazzaro,2700,,
Portoferraio,Viticcio,4400,,
Rio,Bagnaia,3800,,
Rio,Capo d'Arco,4000,,
Rio,Cavo,4000,,
Rio,La Chiusa,2800,,
Rio,Nisportino,3000,,
Rio,Nisporto,3000,,
Rio,Ortano,3100,,
Rio,Padre Eterno,2800,,
Rio,Porticciolo,3500,,
Rio,Rio Elba Centro,2600,,
Rio,Rio Marina Centro,3000,,
Rio,Topinetti,2900,,
Rio,Villaggio Togliatti,2800,,
